"timestamp","pair","EUR/USD"
2026-03-03 10:19:48,EUR/USD,$1.159051
2026-03-03 09:43:48,EUR/USD,$1.157870
2026-03-03 09:35:48,EUR/USD,$1.156481
2026-03-03 09:27:48,EUR/USD,$1.154900
2026-03-03 09:21:48,EUR/USD,$1.153653
2026-03-03 09:13:48,EUR/USD,$1.155427
2026-03-03 08:59:48,EUR/USD,$1.156805
2026-03-03 08:19:48,EUR/USD,$1.158225
2026-03-03 07:57:48,EUR/USD,$1.159531
2026-03-03 06:57:48,EUR/USD,$1.160921
2026-03-03 05:58:46,EUR/USD,$1.160188
2026-03-03 05:44:46,EUR/USD,$1.159550
2026-03-03 05:36:46,EUR/USD,$1.158391
2026-03-03 04:40:46,EUR/USD,$1.159816
2026-03-03 03:44:46,EUR/USD,$1.161049
2026-03-03 02:50:46,EUR/USD,$1.162283
2026-03-03 02:14:46,EUR/USD,$1.163468
2026-03-03 01:52:46,EUR/USD,$1.164670
2026-03-03 01:34:46,EUR/USD,$1.165898
2026-03-02 23:42:46,EUR/USD,$1.167077
2026-03-02 22:50:46,EUR/USD,$1.168445
2026-03-02 17:20:46,EUR/USD,$1.169712
2026-03-02 14:24:46,EUR/USD,$1.168475
2026-03-02 14:10:46,EUR/USD,$1.169685
2026-03-02 13:30:46,EUR/USD,$1.170923
2026-03-02 11:12:46,EUR/USD,$1.169721
2026-03-02 10:00:46,EUR/USD,$1.168524
2026-03-02 09:42:46,EUR/USD,$1.169705
2026-03-02 08:08:46,EUR/USD,$1.170943
2026-03-02 08:00:46,EUR/USD,$1.169643
2026-03-02 06:50:46,EUR/USD,$1.170836
2026-03-02 06:20:46,EUR/USD,$1.172163
2026-03-02 05:58:46,EUR/USD,$1.173356
2026-03-02 05:18:46,EUR/USD,$1.173081
2026-03-02 03:24:46,EUR/USD,$1.174553
2026-03-02 03:06:46,EUR/USD,$1.173260
2026-03-02 02:46:46,EUR/USD,$1.171893
2026-03-02 02:34:46,EUR/USD,$1.170195
2026-03-02 01:40:46,EUR/USD,$1.171594
2026-03-02 00:48:46,EUR/USD,$1.173290
2026-03-02 00:26:46,EUR/USD,$1.174482
2026-03-02 00:06:46,EUR/USD,$1.175698
2026-03-01 23:46:46,EUR/USD,$1.177195
2026-03-01 19:14:46,EUR/USD,$1.178378
2026-03-01 18:20:46,EUR/USD,$1.176921
2026-03-01 17:34:46,EUR/USD,$1.175619
2026-03-01 16:10:46,EUR/USD,$1.176964
2026-03-01 15:02:46,EUR/USD,$1.178295
2026-03-01 13:28:46,EUR/USD,$1.179528
2026-03-01 05:58:46,EUR/USD,$1.180846
2026-03-01 04:50:46,EUR/USD,$1.180765
2026-03-01 03:28:46,EUR/USD,$1.181970
2026-03-01 00:42:46,EUR/USD,$1.180607
2026-03-01 00:38:46,EUR/USD,$1.182308
2026-02-28 23:28:46,EUR/USD,$1.180616
2026-02-28 23:08:46,EUR/USD,$1.181807
2026-02-28 15:42:46,EUR/USD,$1.180410
2026-02-28 05:58:46,EUR/USD,$1.179058
2026-02-28 05:34:46,EUR/USD,$1.178986
2026-02-28 04:10:46,EUR/USD,$1.180231
2026-02-28 03:42:46,EUR/USD,$1.178984
2026-02-28 00:26:46,EUR/USD,$1.180213
2026-02-27 22:44:46,EUR/USD,$1.181505
2026-02-27 21:28:46,EUR/USD,$1.180306
2026-02-27 10:08:46,EUR/USD,$1.181522
2026-02-27 09:50:46,EUR/USD,$1.180085
2026-02-27 09:44:46,EUR/USD,$1.181526
2026-02-27 08:58:46,EUR/USD,$1.179985
2026-02-27 08:44:46,EUR/USD,$1.181353
2026-02-27 05:58:46,EUR/USD,$1.179831
2026-02-27 04:42:46,EUR/USD,$1.179552
2026-02-27 02:50:46,EUR/USD,$1.180746
2026-02-27 01:50:46,EUR/USD,$1.182071
2026-02-26 21:42:46,EUR/USD,$1.180802
2026-02-26 15:46:46,EUR/USD,$1.179515
2026-02-26 14:54:46,EUR/USD,$1.180717
2026-02-26 13:40:46,EUR/USD,$1.179170
2026-02-26 11:22:46,EUR/USD,$1.177824
2026-02-26 09:40:46,EUR/USD,$1.179273
2026-02-26 09:30:46,EUR/USD,$1.178061
2026-02-26 09:20:46,EUR/USD,$1.179859
2026-02-26 08:58:46,EUR/USD,$1.181155
2026-02-26 08:10:46,EUR/USD,$1.179967
2026-02-26 07:12:46,EUR/USD,$1.181256
2026-02-26 05:58:46,EUR/USD,$1.180040
2026-02-26 02:56:46,EUR/USD,$1.180253
2026-02-25 20:42:46,EUR/USD,$1.181472
2026-02-25 19:26:46,EUR/USD,$1.182720
2026-02-25 17:00:46,EUR/USD,$1.181454
2026-02-25 16:56:46,EUR/USD,$1.182697
2026-02-25 10:04:46,EUR/USD,$1.180550
2026-02-25 09:34:46,EUR/USD,$1.178929
2026-02-25 09:16:46,EUR/USD,$1.180266
2026-02-25 08:38:46,EUR/USD,$1.178665
2026-02-25 08:04:46,EUR/USD,$1.177272
2026-02-25 06:30:46,EUR/USD,$1.178536
2026-02-25 05:58:46,EUR/USD,$1.177346
2026-02-25 05:48:46,EUR/USD,$1.178129
2026-02-25 05:26:46,EUR/USD,$1.176832
2026-02-25 03:32:46,EUR/USD,$1.178026
2026-02-25 02:02:46,EUR/USD,$1.179250
2026-02-24 23:56:46,EUR/USD,$1.180591
2026-02-24 21:36:46,EUR/USD,$1.179409
2026-02-24 16:34:46,EUR/USD,$1.178145
2026-02-24 16:26:46,EUR/USD,$1.176889
2026-02-24 12:44:46,EUR/USD,$1.178068
2026-02-24 12:36:46,EUR/USD,$1.179320
2026-02-24 12:12:46,EUR/USD,$1.177660
2026-02-24 11:14:46,EUR/USD,$1.178941
2026-02-24 09:36:46,EUR/USD,$1.177560
2026-02-24 09:20:46,EUR/USD,$1.176350
2026-02-24 07:00:46,EUR/USD,$1.177556
2026-02-24 06:58:46,EUR/USD,$1.178905
2026-02-24 05:58:46,EUR/USD,$1.177659
2026-02-24 05:28:46,EUR/USD,$1.177395
2026-02-24 03:42:46,EUR/USD,$1.178621
2026-02-24 03:32:46,EUR/USD,$1.179933
2026-02-24 03:02:46,EUR/USD,$1.178288
2026-02-24 02:56:46,EUR/USD,$1.179554
2026-02-24 01:32:46,EUR/USD,$1.178371
2026-02-24 01:08:46,EUR/USD,$1.177183
2026-02-24 00:48:46,EUR/USD,$1.178402
2026-02-23 22:28:46,EUR/USD,$1.176851
2026-02-23 19:16:46,EUR/USD,$1.178073
2026-02-23 17:10:46,EUR/USD,$1.179271
2026-02-23 16:00:46,EUR/USD,$1.178082
2026-02-23 09:56:46,EUR/USD,$1.179277
2026-02-23 09:14:46,EUR/USD,$1.180703
2026-02-23 08:02:46,EUR/USD,$1.179512
2026-02-23 07:12:46,EUR/USD,$1.178186
2026-02-23 06:28:46,EUR/USD,$1.176989
2026-02-23 05:58:46,EUR/USD,$1.178214
2026-02-23 05:42:46,EUR/USD,$1.177728
2026-02-23 05:14:46,EUR/USD,$1.179080
2026-02-23 03:18:46,EUR/USD,$1.180274
2026-02-23 02:20:46,EUR/USD,$1.181473
2026-02-23 00:16:46,EUR/USD,$1.182818
2026-02-22 23:52:46,EUR/USD,$1.181354
2026-02-22 23:50:46,EUR/USD,$1.182897
2026-02-22 23:44:46,EUR/USD,$1.181445
2026-02-22 23:42:46,EUR/USD,$1.182638
2026-02-22 23:24:46,EUR/USD,$1.181115
2026-02-22 17:42:46,EUR/USD,$1.182548
2026-02-22 17:22:46,EUR/USD,$1.181109
2026-02-22 16:08:46,EUR/USD,$1.179485
2026-02-22 06:00:46,EUR/USD,$1.178157
2026-02-22 04:44:49,EUR/USD,$1.177780
2026-02-21 14:48:51,EUR/USD,$1.177832
2026-02-20 14:48:51,EUR/USD,$1.178643
2026-02-20 12:30:51,EUR/USD,$1.178375
2026-02-20 10:36:51,EUR/USD,$1.177065
2026-02-20 09:44:51,EUR/USD,$1.178359
2026-02-20 09:20:51,EUR/USD,$1.179599
